
REPORT DATE,12/19/13 18:35 EST
FILE SIZES TESTED (MB),500
BLOCK SIZES TESTED (KB),2048
DD READ FLAGS SET,NONE
DD WRITE FLAGS SET,NONE
NFS MOUNT OPTIONS SET,rw sync nfsvers=4 port=6111 proto=tcp retrans=2 retry=2 bg hard rsize=32768 wsize=32768 bsize=32768 sharecache mountproto=tcp sec=sys addr=129.74.246.249 clientaddr=162.242.168.146
KERNEL TUNING SET,YES

START,STOP,RUNTIME,SOURCE,DEST,FILE (MB),BLOCK (KB),DIRECTION,SPEED (MB/s),SPEED (Mbps)
,,,,,,,RESULT # 40,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:36:32,19:36:42,10,jtg-test4,129.74.246.249,500,2048,WRITE,50.3,402.4
19:36:34,19:36:51,17,jtg-test3,129.74.246.249,500,2048,WRITE,31.4,251.2
00:37:02,00:37:21,19,jtg-test1,129.74.246.249,500,2048,WRITE,27.8,222.4
,,,,,,,RESULT # 41,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:37:51,19:38:01,10,jtg-test4,129.74.246.249,500,2048,WRITE,51.4,411.2
19:37:54,19:38:10,16,jtg-test3,129.74.246.249,500,2048,WRITE,32.2,257.6
00:38:20,00:38:40,20,jtg-test1,129.74.246.249,500,2048,WRITE,26.6,212.8
,,,,,,,RESULT # 42,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:39:10,19:39:21,11,jtg-test4,129.74.246.249,500,2048,WRITE,49.1,392.8
19:39:13,19:39:28,15,jtg-test3,129.74.246.249,500,2048,WRITE,36.0,288.0
